symbol,timestamp,bid,ask,mid,volume,spread_bps
EUR/USD,2024-01-15 07:00:00,1.0895,1.0897,1.0896,12000000,1.8
EUR/USD,2024-01-15 07:15:00,1.0898,1.0900,1.0899,15000000,1.8
EUR/USD,2024-01-15 07:30:00,1.0900,1.0902,1.0901,18000000,1.9
EUR/USD,2024-01-15 07:45:00,1.0903,1.0905,1.0904,14000000,1.9
EUR/USD,2024-01-15 08:00:00,1.0905,1.0907,1.0906,20000000,1.9
EUR/USD,2024-01-15 08:15:00,1.0908,1.0910,1.0909,22000000,1.9
EUR/USD,2024-01-15 08:30:00,1.0910,1.0912,1.0911,25000000,1.9
EUR/USD,2024-01-15 08:45:00,1.0912,1.0914,1.0913,28000000,1.9
EUR/USD,2024-01-15 09:00:00,1.0914,1.0916,1.0915,30000000,1.9
EUR/USD,2024-01-15 09:05:00,1.0915,1.0917,1.0916,32000000,1.9
EUR/USD,2024-01-15 09:10:00,1.0916,1.0918,1.0917,35000000,2.0
EUR/USD,2024-01-15 09:15:00,1.0917,1.0919,1.0918,40000000,2.0
EUR/USD,2024-01-15 09:20:00,1.0918,1.0920,1.0919,45000000,2.1
EUR/USD,2024-01-15 09:25:00,1.0919,1.0921,1.0920,52000000,2.2
EUR/USD,2024-01-15 09:28:00,1.0919,1.0921,1.0920,150000000,3.5
EUR/USD,2024-01-15 09:29:00,1.0921,1.0924,1.0922,180000000,2.8
EUR/USD,2024-01-15 09:30:00,1.0924,1.0927,1.0925,200000000,2.8
EUR/USD,2024-01-15 09:35:00,1.0926,1.0929,1.0927,170000000,2.7
EUR/USD,2024-01-15 09:40:00,1.0930,1.0933,1.0931,160000000,2.8
EUR/USD,2024-01-15 09:45:00,1.0930,1.0932,1.0931,90000000,1.9
EUR/USD,2024-01-15 09:50:00,1.0928,1.0930,1.0929,75000000,1.9
EUR/USD,2024-01-15 10:00:00,1.0927,1.0929,1.0928,60000000,1.9
EUR/USD,2024-01-15 10:15:00,1.0925,1.0927,1.0926,55000000,1.9
EUR/USD,2024-01-15 10:30:00,1.0924,1.0926,1.0925,50000000,1.9
GBP/USD,2024-01-15 08:00:00,1.2695,1.2697,1.2696,8000000,1.6
GBP/USD,2024-01-15 08:30:00,1.2698,1.2700,1.2699,10000000,1.6
GBP/USD,2024-01-15 09:00:00,1.2700,1.2702,1.2701,12000000,1.6
GBP/USD,2024-01-15 09:15:00,1.2705,1.2707,1.2706,15000000,1.6
GBP/USD,2024-01-15 09:20:00,1.2710,1.2712,1.2711,18000000,1.6
GBP/USD,2024-01-15 09:30:00,1.2715,1.2717,1.2716,14000000,1.6
GBP/USD,2024-01-15 10:00:00,1.2718,1.2720,1.2719,12000000,1.6
GBP/USD,2024-01-15 10:30:00,1.2720,1.2722,1.2721,11000000,1.6
