order_id,entity_id,symbol,side,order_type,quantity,price,timestamp,status,counterparty,session
ORD-001,SMITH_J,EUR/USD,BUY,LIMIT,5000000,1.0920,2024-01-15 08:45:00,FILLED,HSBC,LONDON
ORD-002,SMITH_J,EUR/USD,BUY,LIMIT,3000000,1.0918,2024-01-15 08:52:00,CANCELLED,BARC,LONDON
ORD-003,SMITH_J,EUR/USD,BUY,LIMIT,4000000,1.0916,2024-01-15 08:54:00,CANCELLED,CITI,LONDON
ORD-004,SMITH_J,EUR/USD,BUY,LIMIT,6000000,1.0914,2024-01-15 08:56:00,CANCELLED,JPM,LONDON
ORD-005,SMITH_J,EUR/USD,BUY,LIMIT,8000000,1.0912,2024-01-15 08:57:00,CANCELLED,BARC,LONDON
ORD-006,SMITH_J,EUR/USD,BUY,LIMIT,10000000,1.0910,2024-01-15 08:58:00,CANCELLED,CITI,LONDON
ORD-007,SMITH_J,EUR/USD,BUY,MARKET,2000000,1.0925,2024-01-15 09:05:00,FILLED,JPM,LONDON
ORD-008,SMITH_J,EUR/USD,SELL,LIMIT,3000000,1.0930,2024-01-15 09:10:00,CANCELLED,HSBC,LONDON
ORD-009,SMITH_J,EUR/USD,SELL,LIMIT,3000000,1.0935,2024-01-15 09:10:30,CANCELLED,BARC,LONDON
ORD-010,SMITH_J,EUR/USD,SELL,LIMIT,3000000,1.0940,2024-01-15 09:11:00,CANCELLED,CITI,LONDON
ORD-011,SMITH_J,EUR/USD,SELL,LIMIT,5000000,1.0945,2024-01-15 09:11:30,CANCELLED,JPM,LONDON
ORD-012,SMITH_J,EUR/USD,BUY,LIMIT,1000000,1.0922,2024-01-15 09:15:00,FILLED,HSBC,LONDON
ORD-013,CLIENT_A,EUR/USD,BUY,LIMIT,20000000,1.0918,2024-01-15 09:28:00,FILLED,SMITH_J,LONDON
ORD-014,SMITH_J,EUR/USD,BUY,MARKET,5000000,1.0919,2024-01-15 09:28:45,FILLED,JPM,LONDON
ORD-015,SMITH_J,EUR/USD,BUY,LIMIT,3000000,1.0917,2024-01-15 09:35:00,CANCELLED,BARC,LONDON
ORD-016,SMITH_J,EUR/USD,BUY,LIMIT,4000000,1.0915,2024-01-15 09:35:30,CANCELLED,CITI,LONDON
ORD-017,SMITH_J,EUR/USD,BUY,LIMIT,6000000,1.0913,2024-01-15 09:36:00,CANCELLED,JPM,LONDON
ORD-018,SMITH_J,EUR/USD,BUY,LIMIT,8000000,1.0911,2024-01-15 09:36:30,CANCELLED,HSBC,LONDON
ORD-019,SMITH_J,EUR/USD,SELL,MARKET,5000000,1.0932,2024-01-15 09:45:00,FILLED,BARC,LONDON
ORD-020,SMITH_J,EUR/USD,SELL,LIMIT,2000000,1.0930,2024-01-15 09:50:00,FILLED,CITI,LONDON
ORD-021,JONES_R,GBP/USD,BUY,LIMIT,2000000,1.2710,2024-01-15 09:00:00,FILLED,HSBC,LONDON
ORD-022,JONES_R,GBP/USD,BUY,LIMIT,1500000,1.2705,2024-01-15 09:05:00,CANCELLED,BARC,LONDON
ORD-023,JONES_R,GBP/USD,BUY,LIMIT,1500000,1.2700,2024-01-15 09:10:00,CANCELLED,CITI,LONDON
ORD-024,JONES_R,GBP/USD,SELL,LIMIT,2000000,1.2720,2024-01-15 09:20:00,FILLED,JPM,LONDON
ORD-025,FX_PROP_1,EUR/USD,BUY,LIMIT,10000000,1.0920,2024-01-15 09:27:00,FILLED,HSBC,LONDON
ORD-026,FX_PROP_1,EUR/USD,BUY,LIMIT,8000000,1.0918,2024-01-15 09:27:15,CANCELLED,BARC,LONDON
ORD-027,FX_PROP_1,EUR/USD,BUY,LIMIT,10000000,1.0916,2024-01-15 09:27:30,CANCELLED,CITI,LONDON
ORD-028,FX_PROP_1,EUR/USD,BUY,LIMIT,12000000,1.0914,2024-01-15 09:27:45,CANCELLED,JPM,LONDON
ORD-029,FX_PROP_1,EUR/USD,BUY,LIMIT,15000000,1.0912,2024-01-15 09:28:00,CANCELLED,HSBC,LONDON
ORD-030,FX_PROP_1,EUR/USD,SELL,MARKET,10000000,1.0935,2024-01-15 09:40:00,FILLED,BARC,LONDON
