trade_id,entity_id,symbol,side,quantity,price,timestamp,counterparty,trade_type,session
TRD-001,SMITH_J,EUR/USD,BUY,5000000,1.0920,2024-01-15 08:45:02,HSBC,client,LONDON
TRD-002,SMITH_J,EUR/USD,BUY,2000000,1.0925,2024-01-15 09:05:01,JPM,prop,LONDON
TRD-003,SMITH_J,EUR/USD,BUY,1000000,1.0922,2024-01-15 09:15:05,HSBC,prop,LONDON
TRD-004,CLIENT_A,EUR/USD,BUY,20000000,1.0918,2024-01-15 09:28:02,SMITH_J,client,LONDON
TRD-005,SMITH_J,EUR/USD,BUY,5000000,1.0919,2024-01-15 09:28:47,JPM,prop,LONDON
TRD-006,SMITH_J,EUR/USD,SELL,5000000,1.0932,2024-01-15 09:45:01,BARC,prop,LONDON
TRD-007,SMITH_J,EUR/USD,SELL,2000000,1.0930,2024-01-15 09:50:05,CITI,prop,LONDON
TRD-008,SMITH_J,EUR/USD,BUY,3000000,1.0915,2024-01-15 09:55:00,HSBC,prop,LONDON
TRD-009,SMITH_J,EUR/USD,SELL,3000000,1.0916,2024-01-15 09:57:30,HSBC,prop,LONDON
TRD-010,JONES_R,GBP/USD,BUY,2000000,1.2710,2024-01-15 09:00:05,HSBC,prop,LONDON
TRD-011,JONES_R,GBP/USD,SELL,2000000,1.2720,2024-01-15 09:20:05,JPM,prop,LONDON
TRD-012,FX_PROP_1,EUR/USD,BUY,10000000,1.0920,2024-01-15 09:27:02,HSBC,prop,LONDON
TRD-013,FX_PROP_1,EUR/USD,SELL,10000000,1.0921,2024-01-15 09:29:30,HSBC,prop,LONDON
TRD-014,FX_PROP_1,EUR/USD,SELL,10000000,1.0935,2024-01-15 09:40:02,BARC,prop,LONDON
TRD-015,CLIENT_B,EUR/USD,BUY,15000000,1.0921,2024-01-15 09:29:00,FX_PROP_1,client,LONDON
TRD-016,FX_PROP_1,EUR/USD,BUY,5000000,1.0919,2024-01-15 09:28:55,CITI,prop,LONDON
TRD-017,SMITH_J,EUR/USD,BUY,4000000,1.0916,2024-01-15 10:05:00,BARC,prop,LONDON
TRD-018,SMITH_J,EUR/USD,SELL,4000000,1.0917,2024-01-15 10:08:00,BARC,prop,LONDON
TRD-019,SMITH_J,EUR/USD,BUY,2500000,1.0921,2024-01-15 10:15:00,JPM,prop,LONDON
TRD-020,SMITH_J,EUR/USD,SELL,2500000,1.0920,2024-01-15 10:16:00,JPM,prop,LONDON
