trade_id,trader_id,instrument,direction,quantity,price,trade_time,book,trade_type,counterparty,is_prop
TRD-20240115-0001,TRADER_001,EUR/USD,SELL,5000000,1.08520,2024-01-15T09:16:30,FX_PROP,PROP,INTERNAL_BOOK,true
TRD-20240115-0002,TRADER_001,EUR/USD,SELL,3000000,1.08510,2024-01-15T09:18:15,FX_PROP,PROP,INTERNAL_BOOK,true
TRD-20240115-0003,TRADER_001,EUR/USD,SELL,20000000,1.08483,2024-01-15T09:22:00,FX_CLIENT,CLIENT,CLIENT_XYZ,false
TRD-20240115-0004,TRADER_001,GBP/USD,BUY,2000000,1.27185,2024-01-15T08:45:10,FX_PROP,PROP,INTERNAL_BOOK,true
TRD-20240115-0005,TRADER_001,USD/JPY,SELL,1500000,147.820,2024-01-15T10:05:22,FX_PROP,PROP,INTERNAL_BOOK,true
TRD-20240115-0006,TRADER_002,EUR/USD,BUY,2500000,1.08531,2024-01-15T09:08:44,FX_PROP,PROP,INTERNAL_BOOK,true
TRD-20240115-0007,TRADER_002,GBP/USD,SELL,3000000,1.27200,2024-01-15T09:11:05,FX_CLIENT,CLIENT,CLIENT_ABC,false
TRD-20240115-0008,TRADER_002,EUR/GBP,BUY,1800000,0.85340,2024-01-15T09:19:30,FX_PROP,PROP,INTERNAL_BOOK,true
TRD-20240115-0009,TRADER_002,USD/CHF,SELL,2200000,0.89720,2024-01-15T09:31:15,FX_PROP,PROP,INTERNAL_BOOK,true
TRD-20240115-0010,TRADER_002,EUR/USD,BUY,4000000,1.08448,2024-01-15T09:24:50,FX_CLIENT,CLIENT,CLIENT_DEF,false
TRD-20240115-0011,TRADER_003,USD/JPY,BUY,5000000,147.750,2024-01-15T09:07:22,FX_PROP,PROP,INTERNAL_BOOK,true
TRD-20240115-0012,TRADER_003,EUR/JPY,SELL,1500000,159.850,2024-01-15T09:13:40,FX_CLIENT,CLIENT,CLIENT_GHI,false
TRD-20240115-0013,TRADER_003,GBP/USD,BUY,2800000,1.27165,2024-01-15T09:20:55,FX_PROP,PROP,INTERNAL_BOOK,true
TRD-20240115-0014,TRADER_003,AUD/USD,SELL,3500000,0.65830,2024-01-15T09:28:10,FX_CLIENT,CLIENT,CLIENT_JKL,false
TRD-20240115-0015,TRADER_003,USD/CAD,BUY,2000000,1.34520,2024-01-15T09:35:00,FX_PROP,PROP,INTERNAL_BOOK,true
